(0;0.305784)
(0.0314159;0.428287)
(0.0628319;0.631527)
(0.0942478;0.465514)
(0.125664;0.46643)
(0.15708;0.510341)
(0.188496;0.525461)
(0.219911;0.743918)
(0.251327;0.8645)
(0.282743;1.01116)
(0.314159;0.651448)
(0.345575;0.876207)
(0.376991;1.0898)
(0.408407;0.965214)
(0.439823;1.16134)
(0.471239;0.757103)
(0.502655;1.22433)
(0.534071;1.07504)
(0.565487;0.870943)
(0.596903;1.17269)
(0.628319;1.32959)
(0.659734;1.04095)
(0.69115;1.21874)
(0.722566;1.27266)
(0.753982;1.24475)
(0.785398;1.06337)
(0.816814;0.982782)
(0.84823;1.45157)
(0.879646;1.49588)
(0.911062;1.53016)
(0.942478;1.20696)
(0.973894;1.55494)
(1.00531;1.31593)
(1.03673;1.34745)
(1.06814;1.2721)
(1.09956;1.14539)
(1.13097;1.23248)
(1.16239;1.35789)
(1.19381;1.49384)
(1.22522;1.22308)
(1.25664;1.44309)
(1.28805;1.64215)
(1.31947;1.51815)
(1.35088;1.39577)
(1.3823;1.26763)
(1.41372;1.35782)
(1.44513;1.38168)
(1.47655;1.59269)
(1.50796;1.47772)
(1.53938;1.27948)
(1.5708;1.73016)
(1.60221;1.30951)
(1.63363;1.48548)
(1.66504;1.27936)
(1.69646;1.725)
(1.72788;1.45721)
(1.75929;1.57514)
(1.79071;1.23806)
(1.82212;1.63765)
(1.85354;1.34874)
(1.88496;1.52311)
(1.91637;1.326)
(1.94779;1.39052)
(1.9792;1.49267)
(2.01062;1.3449)
(2.04204;1.56837)
(2.07345;1.21088)
(2.10487;1.21395)
(2.13628;1.5128)
(2.1677;1.11025)
(2.19911;1.22899)
(2.23053;1.09654)
(2.26195;1.2162)
(2.29336;1.26856)
(2.32478;1.10652)
(2.35619;1.16149)
(2.38761;1.30283)
(2.41903;1.37537)
(2.45044;1.34444)
(2.48186;0.887068)
(2.51327;1.13083)
(2.54469;1.0771)
(2.57611;1.14671)
(2.60752;0.847316)
(2.63894;1.0947)
(2.67035;0.906565)
(2.70177;0.808069)
(2.73319;0.979076)
(2.7646;0.762695)
(2.79602;0.897048)
(2.82743;0.696652)
(2.85885;0.581733)
(2.89027;0.879346)
(2.92168;0.928639)
(2.9531;0.695896)
(2.98451;0.804259)
(3.01593;0.763385)
(3.04734;0.592797)
(3.07876;0.372063)
(3.11018;0.548003)
(0;0.387999)
(0.0314159;0.426613)
(0.0628319;0.388201)
(0.0942478;0.409347)
(0.125664;0.518091)
(0.15708;0.878593)
(0.188496;0.459102)
(0.219911;0.50165)
(0.251327;0.574415)
(0.282743;0.916219)
(0.314159;0.96972)
(0.345575;0.926949)
(0.376991;0.767731)
(0.408407;0.673239)
(0.439823;0.803169)
(0.471239;0.711736)
(0.502655;1.04097)
(0.534071;1.2214)
(0.565487;0.805233)
(0.596903;1.28818)
(0.628319;0.930569)
(0.659734;1.11383)
(0.69115;1.34347)
(0.722566;1.31085)
(0.753982;0.991237)
(0.785398;1.39579)
(0.816814;1.19154)
(0.84823;1.41685)
(0.879646;1.40928)
(0.911062;1.26142)
(0.942478;1.37303)
(0.973894;1.27569)
(1.00531;1.45085)
(1.03673;1.5649)
(1.06814;1.42179)
(1.09956;1.28678)
(1.13097;1.48688)
(1.16239;1.55878)
(1.19381;1.52228)
(1.22522;1.3271)
(1.25664;1.6702)
(1.28805;1.24555)
(1.31947;1.28277)
(1.35088;1.68486)
(1.3823;1.44739)
(1.41372;1.60341)
(1.44513;1.34158)
(1.47655;1.56763)
(1.50796;1.45597)
(1.53938;1.26797)
(1.5708;1.52096)
(1.60221;1.45167)
(1.63363;1.30184)
(1.66504;1.4502)
(1.69646;1.42223)
(1.72788;1.57477)
(1.75929;1.29821)
(1.79071;1.33282)
(1.82212;1.37963)
(1.85354;1.49134)
(1.88496;1.50261)
(1.91637;1.3634)
(1.94779;1.64575)
(1.9792;1.20942)
(2.01062;1.21057)
(2.04204;1.28245)
(2.07345;1.34471)
(2.10487;1.4923)
(2.13628;1.33982)
(2.1677;1.52553)
(2.19911;1.35333)
(2.23053;1.54012)
(2.26195;1.40768)
(2.29336;1.12093)
(2.32478;1.35669)
(2.35619;1.0024)
(2.38761;1.37976)
(2.41903;1.35689)
(2.45044;0.917933)
(2.48186;0.93884)
(2.51327;0.911786)
(2.54469;0.843253)
(2.57611;0.988966)
(2.60752;1.14949)
(2.63894;1.19859)
(2.67035;0.996665)
(2.70177;0.865242)
(2.73319;0.753456)
(2.7646;0.993154)
(2.79602;0.818669)
(2.82743;0.897259)
(2.85885;0.741414)
(2.89027;0.575071)
(2.92168;0.626066)
(2.9531;0.712267)
(2.98451;0.571295)
(3.01593;0.466036)
(3.04734;0.742341)
(3.07876;0.525797)
(3.11018;0.752377)
